Date,MMM,AOS,ABT,ABBV,ACN
2023-05-22,79.33576202392578,65.84587860107422,104.01377868652344,134.3665008544922,281.5345153808594
2023-05-23,78.54792785644531,64.4360580444336,101.60201263427734,132.1595001220703,278.7767028808594
2023-05-24,75.65406036376953,64.06912994384766,99.96853637695312,130.8891143798828,277.53814697265625
2023-05-25,75.70085906982422,64.20429992675781,98.14289093017578,128.54302978515625,282.3182678222656
2023-05-26,75.61505126953125,64.37812042236328,98.84432983398438,127.56007385253906,293.7751159667969
2023-05-30,74.92864227294922,64.39743041992188,97.72970581054688,126.52149963378906,298.4488220214844
2023-05-31,72.78358459472656,61.74196243286133,98.00836944580078,127.93102264404297,296.02001953125
2023-06-01,73.54021453857422,62.35996627807617,98.79627990722656,123.7396011352539,295.3233642578125
2023-06-02,79.97537231445312,66.05831146240234,100.12228393554688,126.92021942138672,301.31304931640625
2023-06-05,76.42627716064453,66.096923828125,99.69950103759766,126.91096496582031,294.59765625
2023-06-06,76.66808319091797,66.28040313720703,98.6041030883789,125.58489227294922,298.07147216796875
2023-06-07,78.78192901611328,67.67089080810547,97.68168640136719,126.57715606689453,300.96466064453125
2023-06-08,78.5947265625,67.34257507324219,96.83611297607422,127.63426208496094,297.3843688964844
2023-06-09,77.92391967773438,66.42524719238281,97.71050262451172,128.13499450683594,298.7294006347656
2023-06-12,78.98473358154297,66.2127914428711,97.4318618774414,127.71770477294922,301.4001159667969
2023-06-13,80.13916015625,67.3232650756836,97.87384796142578,128.25555419921875,304.96099853515625
2023-06-14,79.52294158935547,67.23635864257812,99.20946502685547,126.32676696777344,304.8545837402344
2023-06-15,80.97379302978516,68.08611297607422,100.9101791381836,126.0114974975586,313.2923889160156
2023-06-16,81.54319763183594,68.55925750732422,102.04400634765625,128.56158447265625,309.19927978515625
2023-06-20,79.79596710205078,67.68054962158203,102.5244369506836,127.80116271972656,307.1285705566406
2023-06-21,79.1485366821289,67.44879150390625,102.09204864501953,126.91096496582031,303.064453125
2023-06-22,78.33732604980469,66.6666488647461,104.01377868652344,127.4209976196289,297.30694580078125
2023-06-23,78.56353759765625,67.10118103027344,103.82161712646484,126.039306640625,288.77239990234375
2023-06-26,78.32173156738281,68.51099395751953,104.26361083984375,125.13982391357422,287.7854309082031
2023-06-27,76.6446762084961,69.78559875488281,103.57177734375,122.96065521240234,291.07537841796875
2023-06-28,76.88648223876953,69.65042114257812,103.39883422851562,122.8771743774414,291.9559326171875
2023-06-29,77.40910339355469,69.89183044433594,103.4468765258789,123.54486846923828,298.35198974609375
2023-06-30,78.0721206665039,70.278076171875,104.75365447998047,124.935791015625,298.5939025878906
2023-07-03,78.8911361694336,69.88217163085938,103.02410125732422,125.1954345703125,300.9065856933594
2023-07-05,76.93328857421875,68.6075439453125,103.16822052001953,127.6156997680664,299.87127685546875
2023-07-06,75.12364196777344,68.17301177978516,103.00486755371094,127.27259826660156,298.003662109375
2023-07-07,75.88806915283203,68.21163177490234,102.1881332397461,125.64984130859375,295.86517333984375
2023-07-10,75.81006622314453,69.70835876464844,102.83191680908203,124.7132568359375,298.4681396484375
2023-07-11,79.49954986572266,70.68363189697266,103.29312896728516,125.71475982666016,299.6970520019531
2023-07-12,79.22655487060547,70.96365356445312,102.66857147216797,125.16761779785156,304.82470703125
2023-07-13,80.23277282714844,70.57740783691406,104.0202407836914,125.25201416015625,306.1163024902344
2023-07-14,79.79596710205078,71.85205841064453,104.20367431640625,127.5209732055664,306.6601867675781
2023-07-17,79.32794952392578,72.42176818847656,103.30577850341797,126.41461944580078,310.5545349121094
2023-07-18,80.34977722167969,73.8798599243164,103.25749969482422,128.05540466308594,313.1280212402344
2023-07-19,80.71637725830078,74.0053939819336,103.57612609863281,129.08673095703125,309.6027526855469
2023-07-20,81.34819793701172,73.7350082397461,107.96902465820312,133.31524658203125,303.4554138183594
2023-07-21,81.37940216064453,73.37773132324219,110.3440933227539,134.7685089111328,305.7181701660156
2023-07-24,81.33259582519531,72.82732391357422,110.66270446777344,134.24346923828125,304.25177001953125
2023-07-25,85.66949462890625,72.5859146118164,109.03105163574219,132.79019165039062,308.4277038574219
2023-07-26,87.86135864257812,72.4893569946289,110.1413345336914,133.0433349609375,307.37884521484375
2023-07-27,86.7303237915039,71.14714813232422,108.76071166992188,139.55958557128906,309.6222229003906
2023-07-28,87.26853942871094,69.99334716796875,108.83795928955078,141.43472290039062,306.446533203125
2023-07-31,86.97213745117188,70.41996002197266,107.48629760742188,140.24398803710938,307.2234802246094
2023-08-01,86.23892211914062,70.38117218017578,106.71391296386719,139.26890563964844,311.71014404296875
2023-08-02,84.9518814086914,70.38117218017578,104.86985778808594,140.05650329589844,308.6122131347656
2023-08-03,83.61026000976562,70.0999984741211,103.82714080810547,139.74708557128906,307.98095703125
2023-08-04,82.2998275756836,70.42964935302734,103.93333435058594,138.50946044921875,302.9989929199219
2023-08-07,82.0814208984375,71.5931396484375,104.70571899414062,140.94717407226562,306.75732421875
2023-08-08,81.2155990600586,71.01139068603516,101.934814453125,140.28150939941406,306.05804443359375
2023-08-09,80.89579010009766,70.5750961303711,101.66447448730469,141.3597412109375,302.5425109863281
2023-08-10,81.04398345947266,69.7994384765625,101.1238021850586,141.9879150390625,301.4548034667969
2023-08-11,81.55098724365234,69.1885986328125,101.67413330078125,142.68173217773438,300.134033203125
2023-08-14,80.66958618164062,69.11103057861328,102.43685913085938,142.76612854003906,302.7173156738281
2023-08-15,78.8911361694336,68.6650390625,101.31690216064453,142.62547302246094,298.5316467285156
