Ticker,Support Level 1,Support Level 2,Support Level 3,Support Level 4,Support Level 5,Support Level 6,Support Level 7
MMM,40.71,45.51,48.26,50.7,51.86,52.43,
AOS,64.23,65.08,66.71,67.7,68.29,69.38,
ABT,82.44,83.87,85.89,86.76,88.63,90.68,
ABBV,119.31,120.9,121.95,124.23,125.23,125.92,
ACN,286.63,293.63,295.86,296.93,297.68,298.23,
