method,tickers_evaluated,avg_support_accuracy,avg_price_proximity,avg_trend_stability,avg_overall_score,std_overall_score
deepsupp,498,0.47438863205259413,0.7586591874023448,0.3372331056096351,0.5606657489039026,0.08040902537536015
hmm,498,0.40299087003214973,0.8256069895761411,0.25611372918362224,0.5426618896800407,0.08192594247969011
fractal,498,0.586315614189626,0.26218394263203626,0.7693303099626407,0.49326588472119304,0.09064110516113048
local_minima,498,0.6022885391596858,0.3618475241662428,0.5308263525866874,0.491819695847709,0.09895418695688572
fibonacci,498,0.5656328305162898,0.1371172864700061,0.6686163278626073,0.4148233123670398,0.07964106711938833
moving_average,498,0.30990889026474744,0.16754298474917442,0.2806529109869751,0.24711133220296375,0.14433816732284732
quantile_regression,498,0.20092866728447367,0.18234469359406533,0.24739060399518656,0.20278746515045293,0.167962369044615
