method,tickers_evaluated,avg_support_accuracy,avg_price_proximity,avg_volume_confirmation,avg_market_regime_sensitivity,avg_support_hold_duration,avg_false_breakout_rate,avg_overall_score,std_overall_score
hmm,502,0.5871279510460973,0.8960795861667371,0.35466003218813075,0.2961029906348632,0.7610919285819685,0.8,0.5955091493150226,0.06014352182994634
fractal,502,0.8696666961026336,0.4694858682510303,0.35696636779072666,0.2961029906348632,0.7482927788605079,0.8,0.5793664866583154,0.04491429946149872
local_minima,502,0.6698325303242462,0.6872677762315582,0.3627117509591828,0.2961029906348632,0.7727985939838529,0.8,0.5777892757120172,0.05297134691639344
deepsupp,502,0.5383100284940318,0.7742285482226967,0.3483932028057079,0.2961029906348632,0.7247540525727777,0.798406374501992,0.5521507325354346,0.07289545567402658
fibonacci,502,0.724847408724523,0.2843626880313695,0.3553815503441195,0.2961029906348632,0.7419091622926284,0.8,0.5048625227953524,0.06125510456973973
moving_average,502,0.4779757884079758,0.6050182735480404,0.3450983444003414,0.2961029906348632,0.701416266152322,0.796812749003984,0.49898579665994724,0.06829655883506879
quantile_regression,502,0.3104355530513982,0.30699210631223234,0.31468499695644114,0.2961029906348632,0.6618978846518687,0.7235059760956176,0.3818197390143749,0.16212644182594904
